#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT001252408.1|SAMN26084684|GCA_022375355.1|Salmonella enterica||FDA1180482-C002-022|Pathogen: environmental/food/other	1180482-C002-022	NULL	herbs	PAIRED	NULL	NULL	ILLUMINA	SRR18072548	GCA_022375355.1	Contig	217449	4887825	50	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26084684	"CFSAN120244"",""FDA1180482-C002-022"",""SRS12045640"	FDA	2022-01-24	environmental/other	31989808	Indonesia	NULL	NULL	herbal tea mytragyna speciosa powder	NULL	food (powdered):FOODON_00002976| herbal tea:FOODON_03311585	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-22	FDA1180482-C002-022	United States Food and Drug Administration|Office of Regulatory Affairs|Denver Laboratory	GenomeTrakr	PDT001252408.1	2022-02-22	28901	ABFELI	ABFELI000000000.1	NULL	NULL	"serotype=I 4:b:-"",""antigen_formula=4:b:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001252409.1|SAMN26084686|GCA_022359735.1|Salmonella enterica||FDA1180482-C002-010|Pathogen: environmental/food/other	1180482-C002-010	NULL	herbs	PAIRED	NULL	NULL	ILLUMINA	SRR18072549	GCA_022359735.1	Contig	217449	4889239	46	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26084686	"CFSAN120241"",""FDA1180482-C002-010"",""SRS12045641"	FDA	2022-01-24	environmental/other	31974258	Indonesia	NULL	NULL	herbal tea mytragyna speciosa powder	NULL	food (powdered):FOODON_00002976| herbal tea:FOODON_03311585	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-22	FDA1180482-C002-010	United States Food and Drug Administration|Office of Regulatory Affairs|Denver Laboratory	GenomeTrakr	PDT001252409.1	2022-02-22	28901	ABFDMT	ABFDMT000000000.1	NULL	NULL	"serotype=I 4:b:-"",""antigen_formula=4:b:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001252410.1|SAMN26084683|GCA_022375295.1|Salmonella enterica||FDA1180482-C002-018|Pathogen: environmental/food/other	1180482-C002-018	NULL	herbs	PAIRED	NULL	NULL	ILLUMINA	SRR18072550	GCA_022375295.1	Contig	188702	4887776	50	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26084683	"CFSAN120243"",""FDA1180482-C002-018"",""SRS12045642"	FDA	2022-01-24	environmental/other	31989748	Indonesia	NULL	NULL	herbal tea mytragyna speciosa powder	NULL	food (powdered):FOODON_00002976| herbal tea:FOODON_03311585	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-22	FDA1180482-C002-018	United States Food and Drug Administration|Office of Regulatory Affairs|Denver Laboratory	GenomeTrakr	PDT001252410.1	2022-02-22	28901	ABFELK	ABFELK000000000.1	NULL	NULL	"serotype=I 4:b:-"",""antigen_formula=4:b:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001252411.1|SAMN26084685|GCA_022358495.1|Salmonella enterica||FDA1180575-C002-001|Pathogen: environmental/food/other	1180575-C002-001	NULL	herbs	PAIRED	NULL	NULL	ILLUMINA	SRR18072551	GCA_022358495.1	Contig	146519	5130384	112	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26084685	"CFSAN120245"",""FDA1180575-C002-001"",""SRS12045643"	FDA	2022-01-25	environmental/other	31973018	Indonesia	NULL	NULL	herbal tea mytragyna speciosa powder	NULL	food (powdered):FOODON_00002976| herbal tea:FOODON_03311585	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-22	FDA1180575-C002-001	United States Food and Drug Administration|Office of Regulatory Affairs|Denver Laboratory	GenomeTrakr	PDT001252411.1	2022-02-22	28901	ABFDLR	ABFDLR000000000.1	NULL	NULL	"serotype=Weltevreden"",""antigen_formula=3,10:r:z6"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001252412.1|SAMN26084687|GCA_022375315.1|Salmonella enterica||FDA1180575-C002-009|Pathogen: environmental/food/other	1180575-C002-009	NULL	herbs	PAIRED	NULL	NULL	ILLUMINA	SRR18072560	GCA_022375315.1	Contig	146519	5130865	107	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26084687	"CFSAN120246"",""FDA1180575-C002-009"",""SRS12045652"	FDA	2022-01-25	environmental/other	31989768	Indonesia	NULL	NULL	herbal tea mytragyna speciosa powder	NULL	food (powdered):FOODON_00002976| herbal tea:FOODON_03311585	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-22	FDA1180575-C002-009	United States Food and Drug Administration|Office of Regulatory Affairs|Denver Laboratory	GenomeTrakr	PDT001252412.1	2022-02-22	28901	ABFELJ	ABFELJ000000000.1	NULL	NULL	"serotype=Weltevreden"",""antigen_formula=3,10:r:z6"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001253833.1|SAMN26214580|GCA_022388205.1|Salmonella enterica||FDA1172456-C001-004|Pathogen: environmental/food/other	FDA1172456-C001-004	NULL	fruits	PAIRED	NULL	NULL	ILLUMINA	SRR18123597	GCA_022388205.1	Contig	194687	4639926	44	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26214580	"CFSAN120247"",""FDA1172456-C001-004"",""SRS12092685"	FDA	2022-02-03	environmental/other	32004978	India	NULL	NULL	apple custard	NULL	custard apple (whole):FOODON_00003660	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-24	FDA1172456-C001-004	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001253833.1	2022-02-24	28901	ABFFCA	ABFFCA000000000.1	NULL	NULL	"serotype=Bareilly"",""antigen_formula=7:y:1,5"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001253835.1|SAMN26214638|GCA_022388535.1|Salmonella enterica||FDA1172456-C001-005|Pathogen: environmental/food/other	FDA1172456-C001-005	NULL	fruits	PAIRED	NULL	NULL	ILLUMINA	SRR18123600	GCA_022388535.1	Contig	224284	4633916	48	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26214638	"CFSAN120248"",""FDA1172456-C001-005"",""SRS12092687"	FDA	2022-02-03	environmental/other	32005298	India	NULL	NULL	apple custard	NULL	custard apple (whole):FOODON_00003660	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-24	FDA1172456-C001-005	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001253835.1	2022-02-24	28901	ABFFCQ	ABFFCQ000000000.1	NULL	NULL	"serotype=Bareilly"",""antigen_formula=7:y:1,5"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001253845.1|SAMN26218037|GCA_022389905.1|Salmonella enterica||FDA1172456-C001-006|Pathogen: environmental/food/other	FDA1172456-C001-006	NULL	fruits	PAIRED	NULL	NULL	ILLUMINA	SRR18124370	GCA_022389905.1	Contig	372928	4641764	34	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26218037	"CFSAN120249"",""FDA1172456-C001-006"",""SRS12093456"	FDA	2022-02-03	environmental/other	32006728	India	NULL	NULL	apple custard	NULL	custard apple (whole):FOODON_00003660	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-02-24	FDA1172456-C001-006	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001253845.1	2022-02-24	28901	ABFFFB	ABFFFB000000000.1	NULL	NULL	"serotype=Bareilly"",""antigen_formula=7:y:1,5"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001256993.1|SAMN26364743|GCA_022440665.1|Salmonella enterica||FDA1181960-C001-001|Pathogen: environmental/food/other	1181960-C001-001	NULL	animal feed	PAIRED	NULL	NULL	ILLUMINA	SRR18191215	GCA_022440665.1	Contig	94298	4950852	108	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26364743	"CFSAN120322"",""FDA1181960-C001-001"",""SRS12151940"	FDA	2022-02-09	environmental/other	32086118	India	NULL	NULL	bully stick dog chews	NULL	bully stick:CURATION_0001643| dog chews:CURATION_0001374	NULL	NULL	Salmonella enterica	NULL	Animal feed	28901	CFSAN	2022-03-02	FDA1181960-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001256993.1	2022-03-02	28901	ABFGRJ	ABFGRJ000000000.1	NULL	NULL	"serotype=Senftenberg"",""antigen_formula=1,3,19:g,s,t:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	19	arsD=HMM,asr=HMM,golS,golT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001256994.1|SAMN26364744|GCA_022440485.1|Salmonella enterica||FDA1181957-C001-001|Pathogen: environmental/food/other	1181957-C001-001	NULL	animal feed	PAIRED	NULL	NULL	ILLUMINA	SRR18191216	GCA_022440485.1	Contig	145272	4822048	81	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26364744	"CFSAN120321"",""FDA1181957-C001-001"",""SRS12151941"	FDA	2022-02-09	environmental/other	32085938	India	NULL	NULL	tumeric coated dog chew	NULL	dog treat:FOODON_00002712| turmeric (ground):FOODON_03310841	NULL	NULL	Salmonella enterica	NULL	Animal feed	28901	CFSAN	2022-03-02	FDA1181957-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001256994.1	2022-03-02	28901	ABFGRF	ABFGRF000000000.1	NULL	NULL	"serotype=Souza"",""antigen_formula=3,10:d:e,n,x"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	4	cdtB,iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001257015.1|SAMN26364769|GCA_022440265.1|Salmonella enterica||FDA1181901-C001-001|Pathogen: environmental/food/other	1181901-C001-001	NULL	fish	PAIRED	NULL	NULL	ILLUMINA	SRR18191290	GCA_022440265.1	Contig	96587	4981132	132	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26364769	"CFSAN120320"",""FDA1181901-C001-001"",""SRS12151990"	FDA	2022-02-10	environmental/other	32085708	Viet Nam	NULL	NULL	featherback fish paste	NULL	clown featherback:FOODON_0002899| fish paste:FOODON_03315476	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-02	FDA1181901-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001257015.1	2022-03-02	28901	ABFGQT	ABFGQT000000000.1	NULL	NULL	"serotype=Kentucky"",""antigen_formula=8:i:z6"	0	0	0	0	23	21	NULL	aac(3)-IId,aac(3)-Id=PARTIAL,aac(3)-Id=PARTIAL_END_OF_CONTIG,aadA2,aadA7,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,arr-2,blaTEM-1,dfrA14,floR,gyrA_D87N=POINT,gyrA_S83F=POINT,lnu(F),mdsA,mdsB,mph(A),parC_S80I=POINT,qnrS1,sul1,sul2,tet(A)	aac(3)-IId,aac(3)-Id=PARTIAL,aac(3)-Id=PARTIAL_END_OF_CONTIG,aadA2,aadA7,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,arr-2,blaTEM-1,dfrA14,floR,gyrA_D87N=POINT,gyrA_S83F=POINT,lnu(F),mph(A),parC_S80I=POINT,qnrS1,sul1,sul2,tet(A)	12	arsD=HMM,asr=HMM,golS,golT,merA,merC,merD,merE,merP,merR,merT,qacEdelta1	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001257017.1|SAMN26364771|GCA_022440285.1|Salmonella enterica||FDA1181819-C001-003|Pathogen: environmental/food/other	1181819-C001-003	NULL	fish	PAIRED	NULL	NULL	ILLUMINA	SRR18191294	GCA_022440285.1	Contig	92405	4932369	127	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26364771	"CFSAN120319"",""FDA1181819-C001-003"",""SRS12151994"	FDA	2022-02-08	environmental/other	32085778	Ghana	NULL	NULL	fried tilapia	NULL	food (fried):FOODON_00002660| tilapia:FOODON_03412434	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-02	FDA1181819-C001-003	United States Food and Drug Administration|Office of Regulatory Affairs|Southeast Food and Feed Laboratory	GenomeTrakr	PDT001257017.1	2022-03-02	28901	ABFGQX	ABFGQX000000000.1	NULL	NULL	"serotype=Agona"",""antigen_formula=4:f,g,s:-"	0	0	0	0	3	1	NULL	fosA7.2,mdsA,mdsB	fosA7.2	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
